Designator,Mid X,Mid Y,Rotation,Layer
C1,133.492986,-85.328191,180.0,top
C10,140.72,-94.714665,90.0,bottom
C11,138.5,-94.714665,90.0,bottom
C12,134.85,-101.727791,180.0,top
C13,145.23,-98.41,180.0,bottom
C14,145.23,-100.77,180.0,bottom
C15,138.730144,-94.53,90.0,top
C16,138.5,-105.0,270.0,bottom
C17,141.0,-105.0,270.0,bottom
C18,145.122,-95.163616,0.0,top
C19,146.86,-97.881156,270.0,top
C2,134.965283,-89.2025,90.0,top
C20,141.56,-103.733042,0.0,top
C21,137.943375,-103.733042,180.0,top
C22,136.394737,-95.402623,90.0,top
C23,146.86,-101.381156,90.0,top
C24,166.268247,-83.838311,0.0,top
C25,166.180745,-78.554185,0.0,top
C26,161.09,-93.229999,270.0,bottom
C27,167.31,-98.89,180.0,top
C28,161.91,-86.37,270.0,top
C29,156.25,-87.66,270.0,top
C3,131.326364,-99.764737,180.0,top
C30,166.32,-99.87,180.0,top
C31,168.65,-90.87,180.0,top
C32,154.67,-98.79,0.0,top
C33,168.3,-95.24,270.0,top
C34,130.0,-112.0,90.0,bottom
C35,130.0,-109.5,180.0,bottom
C36,166.0,-119.98,180.0,top
C37,169.06,-119.98,0.0,top
C38,163.999999,-117.731298,0.0,bottom
C39,160.170741,-117.731298,180.0,bottom
C4,134.499999,-94.618632,270.0,top
C40,160.938143,-112.25,270.0,top
C41,158.090001,-106.49,0.0,top
C42,149.22,-114.175,90.0,bottom
C43,150.98,-114.125,90.0,bottom
C44,148.377005,-116.628416,0.0,bottom
C45,150.340443,-103.405001,90.0,top
C46,146.673541,-108.085288,270.0,bottom
C47,149.45,-105.74,180.0,bottom
C48,148.950077,-102.845546,90.0,bottom
C49,148.639161,-103.145,90.0,top
C5,134.965283,-92.5,180.0,top
C50,147.108062,-104.0,90.0,top
C51,152.3,-103.425,90.0,top
C52,148.451654,-108.335387,270.0,bottom
C53,140.485418,-111.129948,180.0,top
C54,158.09,-115.776666,0.0,top
C55,144.42,-108.42,270.0,bottom
C56,140.660417,-113.182388,180.0,top
C57,150.23,-120.08,0.0,top
C58,146.07,-119.6,270.0,top
C59,159.27,-109.8,90.0,top
C6,142.355,-122.065001,0.0,top
C60,144.16,-119.6,270.0,top
C61,157.3,-107.933333,0.0,top
C62,152.22,-111.059999,0.0,bottom
C63,141.155359,-109.481003,0.0,top
C64,140.485418,-115.67,0.0,top
C65,159.77,-107.72,180.0,bottom
C66,156.64,-104.47,270.0,top
C67,161.629768,-104.22,270.0,top
C68,144.77,-105.99,0.0,bottom
C69,144.919567,-104.0,90.0,top
C7,139.5,-90.5,180.0,top
C70,138.67,-107.11,90.0,top
C71,141.9,-105.19,0.0,top
C72,145.02,-113.0,180.0,bottom
C73,168.27,-101.93,90.0,bottom
C74,166.72,-101.86,90.0,bottom
C75,153.75,-102.950079,90.0,top
C76,157.620001,-114.173334,0.0,top
C77,147.98,-119.6,270.0,top
C78,145.0,-114.5,180.0,bottom
C79,155.39,-115.81,90.0,bottom
C8,139.5,-88.0,180.0,top
C80,157.56,-102.02,0.0,top
C81,169.42,-99.63,90.0,top
C82,172.33,-101.51,270.0,bottom
C83,171.34,-100.55,270.0,bottom
C84,171.34,-102.47,270.0,bottom
C85,155.33,-101.245,90.0,top
C9,135.5,-98.976316,90.0,top
D1,137.71,-108.481667,0.0,bottom
D2,137.710001,-113.851297,0.0,bottom
D3,166.6,-114.987581,180.0,bottom
D4,171.191157,-113.791008,0.0,bottom
D5,166.6,-112.560054,180.0,bottom
D6,166.6,-110.132527,180.0,bottom
D7,171.191157,-108.791008,0.0,bottom
D8,166.6,-107.705,180.0,bottom
D9,171.191157,-111.291008,0.0,bottom
FB1,145.11,-122.890001,270.0,top
FB2,132.0,-111.205,270.0,bottom
FB3,134.225111,-105.08557,0.0,top
FB4,140.485418,-117.28,0.0,top
H1,131.0,-80.0,0.0,top
H2,173.0,-80.0,0.0,top
H3,173.0,-122.0,0.0,top
H4,131.0,-122.0,0.0,top
HSE1,159.12,-104.24,180.0,top
HSE2,140.7,-107.05,180.0,top
IMU1,166.268247,-81.154182,270.0,top
J1,152.1,-123.625,0.0,bottom
J2,136.38,-80.16,90.0,top
J3,172.995,-92.82705,0.0,top
JP1,158.07,-99.95,270.0,bottom
JP2,141.275,-117.965,0.0,bottom
JST1,145.0,-80.475,0.0,top
JST2,159.0,-80.475,0.0,top
L1,141.5,-95.163616,0.0,top
L2,144.6,-97.881156,90.0,top
L3,144.6,-101.381156,270.0,top
LED1,152.65,-84.63,0.0,top
MIC1,173.1225,-101.54,0.0,top
R1,158.02,-102.35,0.0,bottom
R10,173.0,-83.705,180.0,top
R11,160.2,-100.0,90.0,bottom
R12,133.89,-118.339999,270.0,top
R13,135.7,-118.34,270.0,top
R14,138.337284,-111.893366,0.0,bottom
R15,138.337284,-110.580032,180.0,bottom
R16,134.225111,-103.79557,0.0,top
R17,157.620001,-113.08,0.0,top
R18,153.145,-102.95,270.0,bottom
R19,136.495001,-117.93,270.0,bottom
R2,154.6,-87.66,90.0,top
R20,149.38,-99.38,270.0,top
R21,149.89,-101.108417,180.0,top
R22,135.01,-117.93,90.0,bottom
R23,153.61,-110.55,90.0,bottom
R27,156.74,-109.58,270.0,bottom
R28,141.03,-107.62,0.0,bottom
R29,143.216895,-107.328929,90.0,bottom
R3,168.5,-87.0,270.0,top
R30,147.05,-112.3,0.0,bottom
R31,147.06,-113.26,0.0,bottom
R32,168.27,-104.42,270.0,bottom
R33,166.72,-104.42,90.0,bottom
R34,153.27,-114.8,270.0,bottom
R35,144.7,-119.0,0.0,bottom
R36,144.7,-118.0,0.0,bottom
R37,154.429999,-114.8,90.0,bottom
R39,169.5,-101.16,0.0,top
R4,167.0,-87.000001,270.0,top
R40,169.5,-102.11,0.0,top
R5,153.21,-91.88,0.0,top
R6,153.21,-90.65,0.0,top
R7,153.67,-94.259999,90.0,top
R8,168.5,-82.826684,90.0,top
R9,168.500002,-79.481682,270.0,top
SD1,169.6,-111.205,270.0,top
SW1,131.0,-93.0,270.0,top
TP1,148.94,-95.19,0.0,bottom
TP10,135.92,-123.05,0.0,bottom
TP11,163.07,-120.5,0.0,bottom
TP12,163.07,-123.14,0.0,bottom
TP13,169.45,-81.35,0.0,bottom
TP14,170.72,-104.86,0.0,bottom
TP15,169.45,-78.64,0.0,bottom
TP16,154.61,-99.92,0.0,bottom
TP2,154.85,-88.25,315.0,bottom
TP3,151.55,-99.92,0.0,bottom
TP4,154.85,-90.95,315.0,bottom
TP5,151.55,-104.73,0.0,bottom
TP6,134.15,-100.270002,0.0,bottom
TP7,138.525,-123.05,0.0,bottom
TP8,136.09,-104.95,0.0,bottom
TP9,141.13,-123.05,0.0,bottom
U1,147.0,-89.24,180.0,top
U2,140.0,-99.631156,270.0,top
U3,161.01,-93.99,90.0,top
U4,149.297258,-111.798521,270.0,top
USB1,131.1,-111.205,270.0,top
